replicate,flux_median_ratio,active_area_median_ratio,diversity_ratio,saturation_fraction,generic_distance_ratio,flux_median_ratio_pass,active_area_median_ratio_pass,diversity_ratio_pass,saturation_fraction_pass,generic_distance_ratio_pass,joint_gate_pass
127,1.498617685644463,1.0846531930890373,1.0718848257380056,0.0006027221663749999,8.99826001800733,True,True,True,True,False,False
128,1.7752146396602753,1.2463768292922859,1.1325384232113749,0.000684738157671875,10.262027263464459,True,True,True,True,False,False
129,1.4045453878599625,1.1162458138255886,1.0747340490427388,0.0006766319264843749,7.354761798997516,True,True,True,True,True,True
130,1.3888843711507688,1.0938094944000583,1.0387016732466456,0.000643730163046875,7.440872284870924,True,True,True,True,True,True
131,1.6891313402889134,1.1661201871507612,1.155909709568547,0.0006837844828906249,10.631933194701764,True,True,True,True,False,False
132,1.4446685010113554,1.1593039216964987,1.124315038820062,0.000802993773375,8.103569295082135,True,True,True,True,False,False
133,1.4565196557569575,1.0928641273922461,1.0551045110208308,0.0006175041193281249,7.264098459859724,True,True,True,True,True,True
134,1.7701355251649806,1.275933637321121,1.167118695079044,0.0007858276349843749,9.057988312534775,True,True,True,True,False,False
135,1.4559232746293347,1.1343570608360587,1.093843361309327,0.000603675842609375,7.805695506276624,True,True,True,True,True,True
136,1.5792518748149098,1.221649493503837,1.150240060263015,0.0006709098815468749,10.690816706084185,True,True,True,True,False,False
137,1.3556864061721383,0.9719547620551503,0.9933518603529358,0.00057792663746875,6.609477806347383,True,True,True,True,True,True
138,1.8557778935995415,1.4045977006732093,1.2024033672671277,0.000711441037375,11.838560240224124,True,True,True,True,False,False
139,1.3840307206512814,1.012809531318274,1.0715544682984801,0.0006618499761875,6.857938850010725,True,True,True,True,True,True
140,1.5498027850983314,1.216631332591784,1.0666040578581581,0.0006246566778125,8.13813363736538,True,True,True,True,False,False
141,1.526923781161532,1.12654613280705,1.0884017906099503,0.000685691830328125,8.757101320284333,True,True,True,True,False,False
142,1.495873783512656,1.1145782101712385,1.084981103618405,0.000586986542,8.106851525875104,True,True,True,True,False,False
143,1.5554306674051723,1.158357765859828,1.117567188418078,0.0006566047648125,8.695671075467395,True,True,True,True,False,False
144,1.2307989759457796,0.8500000013212902,1.0040002594633075,0.000610828399296875,5.704585569325768,True,True,True,True,True,True
145,1.3073039785006972,0.9338095215506866,1.068087244946562,0.000594615937484375,6.360858422746691,True,True,True,True,True,True
146,1.5828256364685287,1.1999999938607966,1.1408802023434454,0.000733852387125,9.035984056848202,True,True,True,True,False,False
147,1.4336207249170239,1.0764444535062123,1.0533976321940133,0.000705718994671875,8.257703686118964,True,True,True,True,False,False
148,1.6331925703120083,1.1433149924811024,1.0530772714227086,0.000769615173296875,9.329960163092515,True,True,True,True,False,False
149,1.526607994430647,1.1488038496035313,1.017099350590421,0.0006599426250156249,7.358056285156845,True,True,True,True,True,True
150,1.5542713132902664,1.2027720685163406,1.1152664585692709,0.000681400299765625,8.218775963244699,True,True,True,True,False,False
151,1.4453393638077343,1.070537486420698,1.0610564257008073,0.000608444213265625,6.763096972206018,True,True,True,True,True,True
152,1.28162670630179,0.9224563251825318,0.9753875408281252,0.0006098747245625,5.998648716784128,True,True,True,True,True,True
153,1.395122793797757,0.9529837694697034,1.0310973570570847,0.0006046295154375,7.4670911807268086,True,True,True,True,True,True
154,1.563973068067046,1.132254982427342,1.0493318682678872,0.0006661415074375,8.512712247672656,True,True,True,True,False,False
155,1.7546950256566858,1.2222222477339566,1.1408413065579885,0.0006923675515781249,10.506752534204999,True,True,True,True,False,False
156,1.5072628917645974,1.0324675245721997,1.1061918636215746,0.000645637511625,8.364858631681491,True,True,True,True,False,False
157,1.731336118662712,1.318840616581151,1.1144449139354866,0.000702857970796875,9.87656749917663,True,True,True,True,False,False
158,1.522891850341457,1.111059902093143,1.0719467126487956,0.000676631924171875,7.8263429277306304,True,True,True,True,True,True
159,1.3883918568329998,0.9250200102902556,1.0250466265734355,0.00067853927378125,6.040708521926634,True,True,True,True,True,True
160,1.4677058038791193,1.1395812295220413,1.0845932214703646,0.000662803649734375,7.643047076190322,True,True,True,True,True,True
161,1.6245928820946285,1.1989503953140257,1.1584517749021395,0.0006842613226249999,9.123769181550449,True,True,True,True,False,False
162,1.479423391912716,1.184446691232322,1.0775218479467346,0.000625133513796875,8.428641779796992,True,True,True,True,False,False
163,1.6401781377141877,1.0579710366153572,1.0671400366093828,0.0006790161116718749,8.1211195939726,True,True,True,True,False,False
164,1.369070805542505,1.025021569910641,1.0556844340383595,0.0007371902462968749,6.204886571556668,True,True,True,True,True,True
165,1.345308133322324,1.0623809643884554,1.0226563865677056,0.00062942504640625,6.548306549486002,True,True,True,True,True,True
166,1.3808807493294204,0.9948893151892388,1.0300779769758128,0.0006237030011093749,6.637700589721673,True,True,True,True,True,True
167,1.8309135394217375,1.3218390847890078,1.1049550944172535,0.000646114346453125,9.692658880703727,True,True,True,True,False,False
168,1.4924176036535814,1.0393664507586682,1.0740561995525408,0.000608921047203125,8.43288117570669,True,True,True,True,False,False
169,1.4753973974256611,1.1020870643047442,1.0691890466538718,0.0006837844838281249,8.714653542354169,True,True,True,True,False,False
170,1.4930267531789463,1.2015267470263664,1.0589666336515364,0.0007066726675,8.764302981336725,True,True,True,True,False,False
