sample_id,region_group_id,latitude_deg,unsigned_flux_proxy,signed_flux_imbalance,rms_field,field_energy_proxy,gradient_rms,high_gradient_fraction,positive_components,negative_components,strong_component_count,strong_centroid_separation,spectral_centroid,spectral_high_fraction,spectral_potential_proxy
H5447_20150421T095925Z,RG00905,17.657768,34.634468,0.10034327,113.55376,12894.455,35.04801,0.02947998046875,70.0,64.0,134.0,21.611477593141494,0.055345227810490186,0.121104315,60081.50967651945
H5541_20150513T165925Z,RG00917,12.396713,65.79287,0.15027341,175.78651,30900.9,47.406483,0.06341552734375,92.0,75.0,167.0,122.62577320013902,0.04527041182757636,0.10238637,219175.2172326032
H5127_20150203T025925Z,RG00870,7.210271,40.901615,0.01671004,109.160194,11915.948,38.6662,0.0401611328125,116.0,87.0,203.0,137.11137002138847,0.07907949654830439,0.25219017,62915.34455782141
H1724_20120608T015926Z,RG00344,-17.656961,19.265926,0.11813999,97.02877,9414.582,24.420769,0.01593017578125,23.0,48.0,71.0,72.12848497325459,0.04179756990515737,0.08435583,49815.964611048
H1558_20120418T035926Z,RG00313,-27.924789,13.318014,0.3230455,59.402954,3528.7112,22.021444,0.01190185546875,37.0,47.0,84.0,53.33376503807983,0.08337709724633029,0.25511926,11947.311608586846
H3941_20140404T045925Z,RG00727,9.878333,28.526844,0.08499066,108.4471,11760.772,29.234472,0.02105712890625,94.0,27.0,121.0,35.42704575560453,0.04826336256908028,0.103130646,49308.66279487718
H1028_20111106T085926Z,RG00229,19.487251,86.46582,0.007866639,216.6639,46943.246,53.516598,0.07916259765625,82.0,95.0,177.0,97.58103627310993,0.039336119924226025,0.0815335,354456.8434194889
H4197_20140608T185925Z,RG00760,-15.200301,71.30267,0.2340124,200.4426,40177.234,57.606354,0.08563232421875,169.0,26.0,195.0,39.98637449420286,0.05299556156844461,0.12542072,205328.09590925946
H2227_20121126T225925Z,RG00433,-13.312167,30.350754,0.12816466,124.18529,15421.986,36.073837,0.0355224609375,50.0,34.0,84.0,49.20026601281842,0.0519152186521102,0.12182826,75697.00088679473
H7075_20170713T085923Z,RG01190,-5.885819,46.28404,0.06629847,175.58789,30831.105,39.388065,0.0452880859375,45.0,70.0,115.0,75.29087721785478,0.03449706635087387,0.07180438,209715.23391035205
H3999_20140413T185925Z,RG00732,-13.53486,18.627518,0.6313936,63.88003,4080.6582,25.062721,0.01507568359375,97.0,12.0,109.0,36.55781417749829,0.09074491353287695,0.27426445,10675.016423678468
H6327_20160210T205924Z,RG01046,11.152624,36.516075,0.12858337,117.563705,13821.225,38.911335,0.0391845703125,82.0,71.0,153.0,18.23398245547582,0.06682814150730566,0.1842606,61192.10822781102
H2748_20130520T135925Z,RG00536,11.51745,24.589048,0.09994717,95.42129,9105.223,34.3306,0.03021240234375,48.0,60.0,108.0,22.650682716303447,0.07278477206253865,0.1936813,31108.790508156835
H3836_20140311T135925Z,RG00712,-18.625071,30.6194,0.020324111,118.78427,14109.703,35.54367,0.0323486328125,69.0,38.0,107.0,65.59985213383646,0.05245017611822996,0.10899419,63945.98887621365
H4781_20141109T145925Z,RG00814,15.444115,45.521736,0.20217548,145.93889,21298.158,47.340633,0.05047607421875,53.0,95.0,148.0,71.47190247573975,0.06054618373877578,0.14301944,103327.01423939274
H3688_20140205T165925Z,RG00691,10.16526,65.69542,0.009083604,176.77733,31250.225,51.500618,0.069091796875,99.0,77.0,176.0,77.54501661629209,0.0519947425595456,0.12255477,178234.0874373251
